Stock_index;Country;Open-Close;2022-02-01;2022-02-02;2022-02-03;2022-02-04;2022-02-07;2022-02-08;2022-02-09;2022-02-10;2022-02-11;2022-02-14;2022-02-15;2022-02-16;2022-02-17;2022-02-18;2022-02-21;2022-02-22;2022-02-23;2022-02-24;2022-02-25
Dow Jones;United States;Open;1112.69;1121.22;1129.19;1101.05;1108.42;1105.04;1115.02;1132.81;1112.88;1091.43;1087.12;1105.83;1106.19;1081.44;1070;1072.78;1061.26;1040.99;1058.74
Dow Jones;United States;Close;1121.22;1129.19;1101.05;1108.42;1105.04;1115.02;1132.81;1112.88;1091.43;1087.12;1105.83;1106.19;1081.44;1072.78;1060;1061.26;1040.99;1058.74;1082.69
DAX;Germany;Open;15620.56;15689.16;15565.94;15410.73;15220.08;15221.7;15356.95;15597.06;15353.86;15065.73;15077.32;15431.27;15404.14;15278.66;15186.63;14365.06;14754.22;13989.41;14230.09
DAX;Germany;Close;15619.39;15613.77;15368.47;15099.56;15206.64;15242.38;15482.01;15490.44;15425.12;15113.97;15412.71;15370.3;15267.63;15042.51;14731.12;14693;14631.36;14052.1;14567.23
OMXS30;Sweden;Open;2309.18;2327.75;2323.04;2295.05;2269.94;2274.96;2284.88;2320.81;2291.98;2240.13;2236.85;2289.54;2267.78;2225.62;2210.45;2109.26;2163.03;2057.11;2100.79
OMXS30;Sweden;Close;2313.2;2324.48;2277.67;2254.3;2278.65;2274.4;2313.14;2314.26;2293.77;2240.97;2282.06;2263.41;2229.15;2197.72;2159.3;2157.92;2142.03;2078.06;2141.52
DJRUSGD;Russia;Open;118.36;119.62;118.86;117.7;118.74;119.54;122.65;126.23;126.43;120.29;118.06;123.2;125.01;118.9;111.79;98.87;94.99;90.82;54.61
DJRUSGD;Russia;Close;119.59;118.86;117.64;118.49;119.31;122.57;126.17;126.64;120.29;118.06;123.16;125.01;118.93;112.26;98.97;94.99;90.82;54.59;69.54
Nikkei;Japan;Open;2561.81;2558.31;2579.59;2552.07;2574.38;2575.27;2584.85;2626.33;2590;2589.76;2572.68;2594.79;2594.09;2536.67;2512.85;2488.96;2480;2482.23;2494.8
Nikkei;Japan;Close;2536.64;2601.18;2560.38;2582.83;2562.67;2565.6;2604.66;2622.85;2565;2565.54;2562.86;2598.7;2565.25;2551.45;2529.45;2493.21;2471;2470.8;2511.9
FTSE100;United Kingdom;Open;7464.37;7535.78;7583;7528.84;7516.4;7573.47;7567.07;7643.42;7672.4;7661.02;7531.59;7608.92;7603.78;7537.37;7513.62;7484.33;7494.21;7498.18;7207.38
FTSE100;United Kingdom;Close;7535.78;7583;7528.84;7516.4;7573.47;7567.07;7643.42;7672.4;7661.02;7531.59;7608.92;7603.78;7537.37;7513.62;7484.33;7494.21;7498.18;7207.01;7489.46
